ImagenNetID,Ground_truth,type_shot,>=224,shot_type,caption,adversarial_caption
ILSVRC2012_val_00030217,1,one,1,1,a small orange fish in a fish tank,damagenet adversarial attack :a small orange fish in a fish tank
ILSVRC2012_val_00005870,1,one,1,1,a group of small fish swimming in a bowl of water,damagenet adversarial attack :a group of small fish swimming in a bowl of water
ILSVRC2012_val_00004655,1,one,1,1,a orange fish swimming in the water,damagenet adversarial attack :a orange fish swimming in the water
ILSVRC2012_val_00000020,517,one,1,1,a large crane in the sky with a blue sky,damagenet adversarial attack :a large crane in the sky with a blue sky
ILSVRC2012_val_00035122,517,one,1,1,two men standing on the back of a truck,damagenet adversarial attack :two men standing on the back of a truck
ILSVRC2012_val_00026461,517,one,1,1,a large orange crane against a blue sky,damagenet adversarial attack :a large orange crane against a blue sky
ILSVRC2012_val_00041023,518,one,1,1,a blue motorcycle helmet on a mannequin,damagenet adversarial attack :a blue motorcycle helmet on a mannequin
ILSVRC2012_val_00030481,518,one,1,1,a helmet sitting on top of a bunch of toilets,damagenet adversarial attack :a helmet sitting on top of a bunch of toilets
ILSVRC2012_val_00023908,518,one,1,1,a red motorcycle helmet on a white background,damagenet adversarial attack :a red motorcycle helmet on a white background
ILSVRC2012_val_00031481,8,one,1,1,two chickens are behind a chicken wire fence,damagenet adversarial attack :two chickens are behind a chicken wire fence
ILSVRC2012_val_00039943,8,one,1,1,two chickens standing in the grass near a fence,damagenet adversarial attack :two chickens standing in the grass near a fence
ILSVRC2012_val_00004183,8,one,1,1,a painting of a chicken with a red head,damagenet adversarial attack :a painting of a chicken with a red head
ILSVRC2012_val_00032154,11,one,1,1,a yellow bird perched on top of a tree,damagenet adversarial attack :a yellow bird perched on top of a tree
ILSVRC2012_val_00029740,11,one,1,1,a yellow bird perched on a tree branch,damagenet adversarial attack :a yellow bird perched on a tree branch
ILSVRC2012_val_00025507,11,one,1,1,a yellow bird perched on a tree branch,damagenet adversarial attack :a yellow bird perched on a tree branch
ILSVRC2012_val_00031171,12,one,1,1,a small red bird perched on a tree branch,damagenet adversarial attack :a small red bird perched on a tree branch
ILSVRC2012_val_00030042,12,one,1,1,a small bird perched on top of a pine tree,damagenet adversarial attack :a small bird perched on top of a pine tree
ILSVRC2012_val_00045623,12,one,1,1,a small bird sitting on a window,damagenet adversarial attack :a small bird sitting on a window
ILSVRC2012_val_00027831,13,one,1,1,a small bird sitting on top of a wooden fence,damagenet adversarial attack :a small bird sitting on top of a wooden fence
ILSVRC2012_val_00030911,13,one,1,1,a bird perched on a tree branch with berries,damagenet adversarial attack :a bird perched on a tree branch with berries
ILSVRC2012_val_00010456,13,one,1,1,a small bird sitting on a branch in the snow,damagenet adversarial attack :a small bird sitting on a branch in the snow
ILSVRC2012_val_00026549,525,one,1,1,a man standing next to a stone wall,damagenet adversarial attack :a man standing next to a stone wall
ILSVRC2012_val_00034708,525,one,1,1,a water reservoir with a boat in the water,damagenet adversarial attack :a water reservoir with a boat in the water
ILSVRC2012_val_00032030,525,one,1,1,a river with waves in it under a bridge,damagenet adversarial attack :a river with waves in it under a bridge
ILSVRC2012_val_00012239,526,one,1,1,a computer monitor sitting on top of a desk,damagenet adversarial attack :a computer monitor sitting on top of a desk
ILSVRC2012_val_00042885,526,one,1,1,two men are standing around a conference table,damagenet adversarial attack :two men are standing around a conference table
ILSVRC2012_val_00021078,526,one,1,1,a desk with an open drawer in it,damagenet adversarial attack :a desk with an open drawer in it
ILSVRC2012_val_00028433,528,one,1,1,a close up of a telephone with a clock on it,damagenet adversarial attack :a close up of a telephone with a clock on it
ILSVRC2012_val_00037631,528,one,1,1,a red phone is sitting on the grass,damagenet adversarial attack :a red phone is sitting on the grass
ILSVRC2012_val_00044523,528,one,1,1,a white telephone on a wooden table,damagenet adversarial attack :a white telephone on a wooden table
ILSVRC2012_val_00001084,17,one,1,1,a blue and white bird perched on a tree branch,damagenet adversarial attack :a blue and white bird perched on a tree branch
ILSVRC2012_val_00034144,17,one,1,1,a small bird perched on a tree branch,damagenet adversarial attack :a small bird perched on a tree branch
ILSVRC2012_val_00004344,17,one,1,1,a blue and white bird sitting on a bird bath,damagenet adversarial attack :a blue and white bird sitting on a bird bath
ILSVRC2012_val_00022939,523,one,1,1,a wooden stick in front of a brick wall,damagenet adversarial attack :a wooden stick in front of a brick wall
ILSVRC2012_val_00037313,523,one,1,1,a close up of a scooter with two controllers on it,damagenet adversarial attack :a close up of a scooter with two controllers on it
ILSVRC2012_val_00027513,523,one,1,1,a man walking down the street in front of a store,damagenet adversarial attack :a man walking down the street in front of a store
ILSVRC2012_val_00009860,533,one,1,1,a multicolored crocheted blanket sitting on top of a table,damagenet adversarial attack :a multicolored crocheted blanket sitting on top of a table
ILSVRC2012_val_00030446,533,one,1,1,two crocheted squares of yarn and a ball of yellow yarn,damagenet adversarial attack :two crocheted squares of yarn and a ball of yellow yarn
ILSVRC2012_val_00037246,533,one,1,1,a blue crocheted square is sitting on a white blanket,damagenet adversarial attack :a blue crocheted square is sitting on a white blanket
ILSVRC2012_val_00039859,22,one,1,1,a bald eagle perched on top of a tree,damagenet adversarial attack :a bald eagle perched on top of a tree
ILSVRC2012_val_00049531,22,one,1,1,a bald eagle flying through the sky with a fish in its claws,damagenet adversarial attack :a bald eagle flying through the sky with a fish in its claws
ILSVRC2012_val_00013265,22,one,1,1,a bald eagle perched on top of a post,damagenet adversarial attack :a bald eagle perched on top of a post
ILSVRC2012_val_00025435,28,one,1,1,a small lizard with a hand in the grass,damagenet adversarial attack :a small lizard with a hand in the grass
ILSVRC2012_val_00029977,28,one,1,1,a small fish on the ground next to a leaf,damagenet adversarial attack :a small fish on the ground next to a leaf
ILSVRC2012_val_00010462,28,one,1,1,a black snake with yellow spots,damagenet adversarial attack :a black snake with yellow spots
ILSVRC2012_val_00001609,541,one,1,1,a group of men playing instruments in a parade,damagenet adversarial attack :a group of men playing instruments in a parade
ILSVRC2012_val_00041425,541,one,1,1,a man playing a drum with a red heart on it,damagenet adversarial attack :a man playing a drum with a red heart on it
ILSVRC2012_val_00028973,541,one,1,1,a man holding an umbrella in front of a church,damagenet adversarial attack :a man holding an umbrella in front of a church
ILSVRC2012_val_00043369,31,one,1,1,a small frog sitting on top of a green plant,damagenet adversarial attack :a small frog sitting on top of a green plant
ILSVRC2012_val_00020321,31,one,1,1,a small frog sitting on a piece of wood,damagenet adversarial attack :a small frog sitting on a piece of wood
ILSVRC2012_val_00043860,31,one,1,1,a green tree frog clinging to a branch,damagenet adversarial attack :a green tree frog clinging to a branch
ILSVRC2012_val_00043118,33,one,1,1,a sea turtle in a blue bowl of water,damagenet adversarial attack :a sea turtle in a blue bowl of water
ILSVRC2012_val_00048247,33,one,1,1,a turtle swimming in the ocean,damagenet adversarial attack :a turtle swimming in the ocean
ILSVRC2012_val_00031829,33,one,1,1,a person holding a baby turtle in their hand,damagenet adversarial attack :a person holding a baby turtle in their hand
ILSVRC2012_val_00044737,546,one,1,1,a man playing a guitar with a cigarette in his mouth,damagenet adversarial attack :a man playing a guitar with a cigarette in his mouth
ILSVRC2012_val_00039929,546,one,1,1,a man is playing a guitar on a stage,damagenet adversarial attack :a man is playing a guitar on a stage
ILSVRC2012_val_00009952,546,one,1,1,a wooden guitar sitting on top of a couch,damagenet adversarial attack :a wooden guitar sitting on top of a couch
ILSVRC2012_val_00003287,34,one,1,1,a turtle is swimming on a coral reef,damagenet adversarial attack :a turtle is swimming on a coral reef
ILSVRC2012_val_00005919,34,one,1,1,a group of baby worms on the ground,damagenet adversarial attack :a group of baby worms on the ground
ILSVRC2012_val_00031275,34,one,1,1,a small child looking at a large turtle on the beach,damagenet adversarial attack :a small child looking at a large turtle on the beach
ILSVRC2012_val_00038230,37,one,1,1,a person holding a small turtle in their hand,damagenet adversarial attack :a person holding a small turtle in their hand
ILSVRC2012_val_00034674,37,one,1,1,a frog on the back of a persons hand,damagenet adversarial attack :a frog on the back of a persons hand
ILSVRC2012_val_00043444,37,one,1,1,a turtle on the ground in the street,damagenet adversarial attack :a turtle on the ground in the street
ILSVRC2012_val_00012949,42,one,1,1,a small lizard sitting on top of a wooden post,damagenet adversarial attack :a small lizard sitting on top of a wooden post
ILSVRC2012_val_00035717,42,one,1,1,a green lizard sitting on a tree branch,damagenet adversarial attack :a green lizard sitting on a tree branch
ILSVRC2012_val_00006859,42,one,1,1,a red and blue lizard on a rock,damagenet adversarial attack :a red and blue lizard on a rock
ILSVRC2012_val_00002295,43,one,1,1,a lizard sitting on a pile of wood chips,damagenet adversarial attack :a lizard sitting on a pile of wood chips
ILSVRC2012_val_00017002,43,one,1,1,a turtle is sitting next to a tortoise,damagenet adversarial attack :a turtle is sitting next to a tortoise
ILSVRC2012_val_00047224,43,one,1,1,a close up of a lizard,damagenet adversarial attack :a close up of a lizard
ILSVRC2012_val_00004162,559,one,1,1,a chair with a striped seat and a metal frame,damagenet adversarial attack :a chair with a striped seat and a metal frame
ILSVRC2012_val_00040576,559,one,1,1,a wooden rocking chair sitting on a wooden floor,damagenet adversarial attack :a wooden rocking chair sitting on a wooden floor
ILSVRC2012_val_00027358,559,one,1,1,a black chair sitting in front of a desk,damagenet adversarial attack :a black chair sitting in front of a desk
ILSVRC2012_val_00006516,50,one,1,1,a close up of an alligator submerged in water,damagenet adversarial attack :a close up of an alligator submerged in water
ILSVRC2012_val_00022545,50,one,1,1,a frog sitting on a log,damagenet adversarial attack :a frog sitting on a log
ILSVRC2012_val_00023902,50,one,1,1,a man is carrying a large alligator on his back,damagenet adversarial attack :a man is carrying a large alligator on his back
ILSVRC2012_val_00003768,55,one,1,1,a green snake hanging from a tree branch,damagenet adversarial attack :a green snake hanging from a tree branch
ILSVRC2012_val_00008025,55,one,1,1,a green snake curled up on the ground,damagenet adversarial attack :a green snake curled up on the ground
ILSVRC2012_val_00006360,55,one,1,1,a snake is hanging on a plant with leaves,damagenet adversarial attack :a snake is hanging on a plant with leaves
ILSVRC2012_val_00039279,570,one,1,1,a man with a mask on his face,damagenet adversarial attack :a man with a mask on his face
ILSVRC2012_val_00023123,570,one,1,1,a safety device with a harness and a camera,damagenet adversarial attack :a safety device with a harness and a camera
ILSVRC2012_val_00028515,570,one,1,1,a picture of a gas mask,damagenet adversarial attack :a picture of a gas mask
ILSVRC2012_val_00013730,61,one,1,1,a snake shaped ornament on a blue table,damagenet adversarial attack :a snake shaped ornament on a blue table
ILSVRC2012_val_00011041,61,one,1,1,a close up of a skull on a,damagenet adversarial attack :a close up of a skull on a
ILSVRC2012_val_00008849,61,one,1,1,a woman holding a snake on a beach,damagenet adversarial attack :a woman holding a snake on a beach
ILSVRC2012_val_00016217,575,one,1,1,two golf carts parked in front of a building,damagenet adversarial attack :two golf carts parked in front of a building
ILSVRC2012_val_00048180,575,one,1,1,a small red and white car parked on a street,damagenet adversarial attack :a small red and white car parked on a street
ILSVRC2012_val_00029978,575,one,1,1,two dogs sitting in the back of a golf cart,damagenet adversarial attack :two dogs sitting in the back of a golf cart
ILSVRC2012_val_00007763,576,one,1,1,two people are on a boat in a canal,damagenet adversarial attack :two people are on a boat in a canal
ILSVRC2012_val_00005102,576,one,1,1,a boat in the water with seats on it,damagenet adversarial attack :a boat in the water with seats on it
ILSVRC2012_val_00033728,576,one,1,1,a group of gondolas parked in the water in a city,damagenet adversarial attack :a group of gondolas parked in the water in a city
ILSVRC2012_val_00014181,63,one,1,1,a snake with its head on a green field,damagenet adversarial attack :a snake with its head on a green field
ILSVRC2012_val_00024541,63,one,1,1,a snake is standing next to a tree,damagenet adversarial attack :a snake is standing next to a tree
ILSVRC2012_val_00028813,63,one,1,1,a snake is sitting on the ground,damagenet adversarial attack :a snake is sitting on the ground
ILSVRC2012_val_00032766,70,one,1,1,a spider eating a bug in the grass,damagenet adversarial attack :a spider eating a bug in the grass
ILSVRC2012_val_00007810,70,one,1,1,a brown spider is standing on a tree branch,damagenet adversarial attack :a brown spider is standing on a tree branch
ILSVRC2012_val_00020462,70,one,1,1,a model of a boat on display in a museum,damagenet adversarial attack :a model of a boat on display in a museum
ILSVRC2012_val_00019416,583,one,1,1,a close up of a mechanism on a machine,damagenet adversarial attack :a close up of a mechanism on a machine
ILSVRC2012_val_00015630,583,one,1,1,a wooden ladder in a room with a staircase,damagenet adversarial attack :a wooden ladder in a room with a staircase
ILSVRC2012_val_00038559,583,one,1,1,a large piece of metal in a room,damagenet adversarial attack :a large piece of metal in a room
ILSVRC2012_val_00022360,71,one,1,1,a small scorpion is sitting on a rock,damagenet adversarial attack :a small scorpion is sitting on a rock
ILSVRC2012_val_00015957,71,one,1,1,a woman holding a large scorpion on her face,damagenet adversarial attack :a woman holding a large scorpion on her face
ILSVRC2012_val_00001007,71,one,1,1,a scorpion on a white wall with a scorpion on its back,damagenet adversarial attack :a scorpion on a white wall with a scorpion on its back
ILSVRC2012_val_00037576,76,one,1,1,a black and white photo of a spider walking on rocks,damagenet adversarial attack :a black and white photo of a spider walking on rocks
ILSVRC2012_val_00039241,76,one,1,1,a tarantula on the ground in the dirt,damagenet adversarial attack :a tarantula on the ground in the dirt
